X	num_unique_subclones	mean_apparent_ccf	mean_true_ccfs	mean_diff	ccf_diff_higher_true	ccf_diff_lower_true	ks_pval	ks_stat	sp_pval	sp_rho	mean_fit	max_fit	prop_total_subclones	num_clones_over_0.01	mean_fit_over_0.01	max_fit_over_0.01	prop_total_subclones_over_0.01	prop_over0.01_subclones_over_0.01	ITH	ITH_over_0.01	n_clonal	n_subclonal	n_subclonal_over_0.01
113273	1238	0.00486726183875583	0.00486456103655066	0.000103814733290991	0.000153854038322626	-7.95007257688749e-05	0.850871865466918	0.0875850340136054	0	0.94098282363011	19.6834763786992	51.5687577254685	0.603313840155945	32	15.9566431420271	28.5636178418783	0.0155945419103314	0.96969696969697	668.5	23	4	2674	92
113273	1227	0.00490451821624012	0.0049029540454783	8.30830159404095e-05	0.000110170687507382	-6.73375973256956e-05	0.963945243664875	0.0714285714285714	0	0.937291998337489	19.5847170612064	51.5687577254685	0.597953216374269	33	15.8051853810692	28.5636178418783	0.0160818713450292	1	663.25	23.5	4	2653	94
113273	1223	0.00490118011145282	0.00490649655969743	9.71717451086433e-05	0.000137845062488796	-7.32799919393068e-05	0.963945243664875	0.0714285714285714	0	0.935076920844136	19.829302921873	51.5687577254685	0.596003898635478	33	15.6680032470645	28.5636178418783	0.0160818713450292	1	662.75	23.5	4	2651	94
113273	1224	0.00491643182650946	0.00491030701066672	8.62601245974526e-05	0.00011004087687694	-7.28155813986439e-05	0.963945243664875	0.0714285714285714	0	0.934867460739734	19.7295297723043	51.5687577254685	0.596491228070175	33	15.9231972191606	28.5636178418783	0.0160818713450292	1	662.25	23.5	4	2649	94
113273	1211	0.00497196912715426	0.00496639334884048	7.75761059777323e-05	9.51899493258812e-05	-6.70274715724141e-05	0.487252155778954	0.121664050235479	0	0.938846570878066	19.6071197492549	51.5687577254685	0.590155945419103	31	15.8376264631499	28.5636178418783	0.0151072124756335	0.939393939393939	654.75	21.75	4	2619	87
113273	1218	0.00493101523876941	0.00492907773106323	8.72069020787552e-05	0.000121034913709303	-6.89720945730615e-05	0.970211394315229	0.0695918367346939	0	0.943612984091067	19.6465480744488	51.5687577254685	0.593567251461988	34	15.7013809121648	28.5636178418783	0.0165692007797271	1.03030303030303	659.75	24	4	2639	96
113273	1235	0.00486838719226918	0.00487013070047108	7.86535706810949e-05	0.000114030851544013	-5.95296345867621e-05	0.963945243664875	0.0714285714285714	0	0.945949030089594	19.6723399095305	51.5687577254685	0.601851851851852	33	15.6680032470645	28.5636178418783	0.0160818713450292	1	667.75	23.5	4	2671	94
113273	1202	0.00501480483145448	0.0050180217659083	8.44196629024416e-05	0.000123241932143472	-6.3152271735359e-05	0.61874528278767	0.108418367346939	0	0.94682203710778	19.6051792997724	51.5687577254685	0.585769980506823	32	15.8854249285117	28.5636178418783	0.0155945419103314	0.96969696969697	648	23	4	2592	92
113273	1237	0.00483704826502818	0.00482858723165281	8.02277820077425e-05	9.54766705178207e-05	-7.12150071141779e-05	0.823465379900797	0.0903486394557823	0	0.930854856746584	19.7763544663871	51.5687577254685	0.602826510721248	32	15.6679154131485	28.5636178418783	0.0155945419103314	0.96969696969697	673.5	23	4	2694	92
113273	1175	0.00510169940090087	0.00510444065048225	8.717088179917e-05	0.000122050935788911	-6.69976434763096e-05	0.547423237970563	0.116169544740973	0	0.944606874022048	19.6774060488893	51.5687577254685	0.57261208576998	31	15.8376264631499	28.5636178418783	0.0151072124756335	0.939393939393939	637	21.75	4	2548	87
113273	1207	0.00497890179834066	0.00498181377608206	0.000109867488125911	0.000148498642116322	-8.64303645412548e-05	0.218016605114102	0.148859543817527	0	0.940901078154103	19.6020803686474	51.5687577254685	0.588206627680312	35	15.9889918011669	28.5636178418783	0.017056530214425	1.06060606060606	652.75	24.5	4	2611	98
113273	1224	0.00490177198519591	0.00490681378123722	8.07957263860852e-05	0.000116037994931125	-6.0253650409042e-05	0.512682469090242	0.119309262166405	0	0.943893943407934	19.6186685152604	51.5687577254685	0.596491228070175	31	15.8376264631499	28.5636178418783	0.0151072124756335	0.939393939393939	662.75	21.75	4	2651	87
