X	num_unique_subclones	mean_apparent_ccf	mean_true_ccfs	mean_diff	ccf_diff_higher_true	ccf_diff_lower_true	ks_pval	ks_stat	sp_pval	sp_rho	mean_fit	max_fit	prop_total_subclones	num_clones_over_0.01	mean_fit_over_0.01	max_fit_over_0.01	prop_total_subclones_over_0.01	prop_over0.01_subclones_over_0.01	ITH	ITH_over_0.01	n_clonal	n_subclonal	n_subclonal_over_0.01
504	5	0.526077097505669	0.378934420121041	0.155129279525989	0.0419296612421451	-0.211590369837431	2.82086058487341e-05	0.592373791621912	1.36842747005847e-06	0.845840611106198	15.1441423231496	20.1978243545319	0.00243664717348928	7	12.5820423083864	20.1978243545319	0.00341130604288499	0.212121212121212	1.33333333333333	1.11111111111111	9	12	10
485	2	0.740756013745704	0.530355068848483	0.211498731832289	0.00411670100650449	-0.351583063941259	7.25737914497593e-06	0.693877551020408	4.22758739896126e-06	0.902242620213959	17.688711429098	20.1978243545319	0.000974658869395711	5	13.1586052626941	20.1978243545319	0.00243664717348928	0.151515151515152	0.363636363636364	0.363636363636364	11	4	4
463	2	0.755795536357091	0.530355068848483	0.225440467508608	NA	-0.30741881932992	1.57018701374412e-08	0.846938775510204	4.22758739896126e-06	0.902242620213959	17.688711429098	20.1978243545319	0.000974658869395711	5	13.1586052626941	20.1978243545319	0.00243664717348928	0.151515151515152	0.363636363636364	0.363636363636364	11	4	4
515	1	1	0.710520525688172	0.289479474311828	NA	-0.454896316775729	2.49861774603843e-08	0.959183673469388	NA	NA	15.1795985036641	15.1795985036641	0.000487329434697856	3	11.0413149145703	15.1795985036641	0.00146198830409357	0.0909090909090909	0	0	11	0	0
535	2	0.864557872034508	0.607231953609541	0.257325918424967	NA	-0.371692993280508	3.09410863819082e-07	0.826530612244898	0.0148401497468031	0.656294820615145	19.9840208403905	24.7884431771169	0.000974658869395711	4	14.478096980207	24.7884431771169	0.00194931773879142	0.121212121212121	0.181818181818182	0.181818181818182	11	2	2
499	2	0.868804275217101	0.526401672534121	0.34240260268298	NA	-0.466912640022245	3.93144965471492e-08	0.825850340136054	0.0161243643794507	0.608291850456726	24.8338697444364	24.879296311756	0.000974658869395711	5	16.5583368465168	24.879296311756	0.00243664717348928	0.151515151515152	0.153846153846154	0.153846153846154	13	2	2
524	2	0.877099236641221	0.526401672534121	0.3506975641071	NA	-0.478223951055136	3.93144965471492e-08	0.825850340136054	0.0161243643794507	0.608291850456726	24.8338697444364	24.879296311756	0.000974658869395711	5	16.5583368465168	24.879296311756	0.00243664717348928	0.151515151515152	0.153846153846154	0.153846153846154	13	2	2
495	1	1	0.607231953609541	0.392768046390459	NA	-0.567331622563997	1.34593591827326e-09	0.959183673469388	NA	NA	24.7884431771169	24.7884431771169	0.000487329434697856	4	14.478096980207	24.7884431771169	0.00194931773879142	0.121212121212121	0	0	13	0	0
509	6	0.565217391304348	0.343305525899792	0.221911865404555	NA	-0.268630152858146	9.1449343742056e-07	0.677228786251343	2.45621652457e-10	0.925857761085127	18.5108404820386	24.7884431771169	0.00292397660818713	7	16.1809862358923	24.7884431771169	0.00341130604288499	0.212121212121212	1.09090909090909	0.727272727272727	11	12	8
550	51	0.116920556920557	0.0704571259073338	0.0464634310132231	NA	-0.0482003817053062	0.361563722770527	0.153777300393842	9.2805915092888e-29	0.824843432599448	17.0509449472129	20.3349635917069	0.0248538011695906	26	17.0065616730378	20.3349635917069	0.0126705653021442	0.787878787878788	9.09090909090909	4.18181818181818	11	100	46
461	5	0.614089453568846	0.381799384339104	0.254951982820736	0.0594875231763588	-0.393541657425387	5.09595065256718e-07	0.723889555822329	1.14341414205796e-06	0.848930274860207	15.5874829301537	20.2787219473387	0.00243664717348928	6	12.8936970306981	20.1978243545319	0.00292397660818713	0.181818181818182	0.615384615384615	0.307692307692308	13	8	4
496	2	0.861290322580645	0.530355068848483	0.347935174795664	0.0637497039881307	-0.565725357106521	3.93144965471492e-08	0.825850340136054	0.000329245094988916	0.801292396973236	17.688711429098	20.1978243545319	0.000974658869395711	5	13.1586052626941	20.1978243545319	0.00243664717348928	0.151515151515152	0.153846153846154	0.153846153846154	13	2	2
