ccfs	true_ccfs
1	1
1	1
1	1
1	1
1.76564582910314e-05	1.10422587241373e-05
1.76564582910314e-05	1.10422587241373e-05
1.76564582910314e-05	1.10422587241373e-05
1.76564582910314e-05	1.10422587241373e-05
1.76564582910314e-05	1.10422587241373e-05
8.8282291455157e-06	3.01152510658289e-06
8.8282291455157e-06	3.01152510658289e-06
8.8282291455157e-06	3.01152510658289e-06
8.8282291455157e-06	3.01152510658289e-06
8.8282291455157e-06	3.01152510658289e-06
0.000203049270346861	0.000184706873203751
0.000203049270346861	0.000184706873203751
0.000203049270346861	0.000184706873203751
0.000203049270346861	0.000184706873203751
0.000203049270346861	0.000184706873203751
2.64846874365471e-05	6.02305021316579e-06
2.64846874365471e-05	6.02305021316579e-06
2.64846874365471e-05	6.02305021316579e-06
2.64846874365471e-05	6.02305021316579e-06
2.64846874365471e-05	6.02305021316579e-06
0.000229533957783408	0.000209802915758608
0.000229533957783408	0.000209802915758608
0.000229533957783408	0.000209802915758608
0.000229533957783408	0.000209802915758608
0.000229533957783408	0.000209802915758608
0.00152728364217422	0.00190830307587136
0.00152728364217422	0.00190830307587136
0.00152728364217422	0.00190830307587136
0.00152728364217422	0.00190830307587136
0.00152728364217422	0.00190830307587136
0.00105938749746188	0.00127086359497798
0.00105938749746188	0.00127086359497798
3.53129165820628e-05	1.0038417021943e-05
3.53129165820628e-05	1.0038417021943e-05
3.53129165820628e-05	1.0038417021943e-05
3.53129165820628e-05	1.0038417021943e-05
3.53129165820628e-05	1.0038417021943e-05
6.17976040186099e-05	5.21997685141035e-05
6.17976040186099e-05	5.21997685141035e-05
6.17976040186099e-05	5.21997685141035e-05
6.17976040186099e-05	5.21997685141035e-05
6.17976040186099e-05	5.21997685141035e-05
1.76564582910314e-05	7.02689191536008e-06
1.76564582910314e-05	7.02689191536008e-06
1.76564582910314e-05	7.02689191536008e-06
1.76564582910314e-05	7.02689191536008e-06
1.76564582910314e-05	7.02689191536008e-06
0.000105938749746188	0.000112430270645761
0.000105938749746188	0.000112430270645761
0.000105938749746188	0.000112430270645761
0.000105938749746188	0.000112430270645761
0.000105938749746188	0.000112430270645761
1.76564582910314e-05	2.0076834043886e-06
1.76564582910314e-05	2.0076834043886e-06
1.76564582910314e-05	2.0076834043886e-06
1.76564582910314e-05	2.0076834043886e-06
1.76564582910314e-05	2.0076834043886e-06
3.53129165820628e-05	3.01152510658289e-06
3.53129165820628e-05	3.01152510658289e-06
3.53129165820628e-05	3.01152510658289e-06
3.53129165820628e-05	3.01152510658289e-06
3.53129165820628e-05	3.01152510658289e-06
0.016279254544331	0.0149321453201402
0.016279254544331	0.0149321453201402
0.016279254544331	0.0149321453201402
0.016279254544331	0.0149321453201402
0.016279254544331	0.0149321453201402
1.76564582910314e-05	9.03457531974868e-06
1.76564582910314e-05	9.03457531974868e-06
8.8282291455157e-06	2.0076834043886e-06
8.8282291455157e-06	2.0076834043886e-06
0.000565006665313005	0.000529024577056395
0.000565006665313005	0.000529024577056395
8.8282291455157e-06	3.41306178746061e-05
8.8282291455157e-06	3.41306178746061e-05
0.00114766978891704	0.00101086859410966
0.00114766978891704	0.00101086859410966
