	num_unique_subclones	mean_apparent_ccf	mean_true_ccfs	mean_diff	ccf_diff_higher_true	ccf_diff_lower_true	ks_pval	ks_stat	sp_pval	sp_rho	mean_fit	max_fit	prop_total_subclones	num_clones_over_0.01	mean_fit_over_0.01	max_fit_over_0.01	prop_total_subclones_over_0.01	prop_over0.01_subclones_over_0.01	ITH	ITH_over_0.01	n_clonal	n_subclonal	n_subclonal_over_0.01
113273	1199	0.00500910870616029	0.00500847925325484	9.2404592856117e-05	0.000125900389774088	-7.33722113480441e-05	0.911488338414482	0.0811937678297125	0	0.939821689547013	19.8197537118199	51.5687577254685	0.584307992202729	32	15.9715777209903	28.5636178418783	0.0155945419103314	0.96969696969697	649.25	22.25	4	2597	89
113273	1203	0.00495405525310933	0.00496085992532875	9.53266398615823e-05	0.000140123733293996	-6.98074135220185e-05	0.6978043369298	0.101409636019356	0	0.938945476726173	19.5970705822007	51.5687577254685	0.58625730994152	34	16.2037433428265	28.5636178418783	0.0165692007797271	1.03030303030303	655.5	23.25	4	2622	93
113273	1221	0.0049178198264863	0.00491415577630605	7.66668641538161e-05	0.000104160635007499	-6.19782461873107e-05	0.586543706751937	0.111181972789116	0	0.944009107477179	19.6305096707044	51.5687577254685	0.595029239766082	32	15.6679154131485	28.5636178418783	0.0155945419103314	0.96969696969697	661.75	23	4	2647	92
113273	1190	0.00501870192618279	0.00502196075545337	8.48265695134501e-05	0.00011516810707953	-6.62036039392966e-05	0.125284790570603	0.172322861728961	0	0.938096675474418	19.6620906061681	51.5687577254685	0.579922027290448	30	15.9242966831579	28.5636178418783	0.0146198830409357	0.909090909090909	647.5	21.25	4	2590	85
113273	1186	0.0050797747342453	0.00507090069273154	8.01523603071615e-05	8.87180237307404e-05	-7.45951814344251e-05	0.870866130379953	0.086131226684222	0	0.940228271350634	19.6565738304793	51.5687577254685	0.577972709551657	32	15.8324135715632	28.5636178418783	0.0155945419103314	0.96969696969697	641.25	22.25	4	2565	89
113273	1212	0.00494259837816247	0.00494565671694215	8.23397528127133e-05	0.000120804819148416	-6.14559283587475e-05	0.963945243664875	0.0714285714285714	0	0.94101989018734	19.6733909340863	51.5687577254685	0.590643274853801	33	15.6680032470645	28.5636178418783	0.0160818713450292	1	657.5	23.5	4	2630	94
113273	1217	0.00495917273858726	0.00496635469538569	9.59444425267831e-05	0.000139433270840226	-7.05955124516271e-05	0.302965392480014	0.141287284144427	0	0.942329672705358	19.7186646615731	51.5687577254685	0.59307992202729	31	16.0621524144926	28.5636178418783	0.0151072124756335	0.939393939393939	654.75	21.75	4	2619	87
113273	1202	0.00500129856303372	0.00500042723001888	9.1869022049877e-05	0.000115520945388048	-7.66948015693917e-05	0.292939677163344	0.141759929778363	0	0.941989565758805	19.5924416428105	51.5687577254685	0.585769980506823	32	15.9738826472556	28.5636178418783	0.0155945419103314	0.96969696969697	650.25	22.25	4	2601	89
113273	1230	0.00487084172001346	0.00487165504299689	9.77426614528173e-05	0.000136125362800898	-7.61424944380521e-05	0.871386743447079	0.0856068743286788	0	0.929698643193052	19.6638039538948	51.5687577254685	0.599415204678363	33	16.1655535940871	28.5636178418783	0.0160818713450292	1	667.5	22.75	4	2670	91
113273	1206	0.00497336941091383	0.00497226052040089	8.52280953389339e-05	0.000112445059512288	-6.91329165439883e-05	0.963945243664875	0.0714285714285714	0	0.938346377547525	19.6883876856945	51.5687577254685	0.587719298245614	33	15.8051853810692	28.5636178418783	0.0160818713450292	1	654	23.5	4	2616	94
113273	1226	0.0049114747244225	0.00490661490337079	9.18376412623516e-05	0.000124690125625944	-7.44150036069096e-05	0.6954984947447	0.102699144173798	0	0.93889210226401	19.832826690866	51.5687577254685	0.597465886939571	32	15.9415250202218	28.5636178418783	0.0155945419103314	0.96969696969697	662.75	22.25	4	2651	89
113273	1220	0.00492700028173842	0.00492892086892816	8.45597452768583e-05	0.000113828445572317	-6.67936681419758e-05	0.819099270501577	0.0907738095238095	0	0.940125679273161	19.5812323321492	51.5687577254685	0.594541910331384	32	15.8854249285117	28.5636178418783	0.0155945419103314	0.96969696969697	659.75	23	4	2639	92
113273	1208	0.00493563552147681	0.00493459226033789	7.14641922219834e-05	9.99522892791879e-05	-5.6101898262832e-05	0.740730301403176	0.0987491770901909	0	0.938282335656369	19.6062244272157	51.5687577254685	0.58869395711501	32	15.9715777209903	28.5636178418783	0.0155945419103314	0.96969696969697	659	22.25	4	2636	89
113273	1211	0.00495336832019846	0.00495323282811685	8.75648568782292e-05	0.000114740134438679	-7.10135214791788e-05	0.719070631016492	0.100107411385607	0	0.942445263895463	19.6993859024411	51.5687577254685	0.590155945419103	33	16.1677886741019	28.5636178418783	0.0160818713450292	1	656.5	22.75	4	2626	91
113273	1199	0.00498998753083611	0.00498725621421788	8.22815976743543e-05	0.000103170473743097	-6.93484485110023e-05	0.887426331735528	0.0835459183673469	0	0.930241781803326	19.6890627927634	51.5687577254685	0.584307992202729	32	15.8886757301942	28.5636178418783	0.0155945419103314	0.96969696969697	652	23	4	2608	92
113273	1245	0.00485736196012751	0.00484651487432882	9.57136630133345e-05	0.000117588329666469	-8.35575533275195e-05	0.965573865625368	0.0714285714285714	0	0.936856414225985	19.744610729042	51.5687577254685	0.60672514619883	32	15.7472066545019	28.5636178418783	0.0155945419103314	0.96969696969697	671	23	4	2684	92
113273	1225	0.00487510094951028	0.00488109772043658	0.000100161831739187	0.000138754804365423	-7.64375143885607e-05	0.930857780520657	0.0766306522609044	0	0.934938392666299	19.5583266297052	51.5687577254685	0.596978557504873	35	15.94111902929	28.5636178418783	0.017056530214425	1.06060606060606	666.25	24.5	4	2665	98
113273	1222	0.00495091585095663	0.0049495196994277	8.27506216293804e-05	0.000106635938896611	-6.8187902386904e-05	0.547423237970563	0.116169544740973	0	0.935549415430601	19.7575616965749	51.5687577254685	0.59551656920078	31	15.8376264631499	28.5636178418783	0.0151072124756335	0.939393939393939	657	21.75	4	2628	87
113273	1218	0.00493536160035032	0.00493828319188299	9.29007475400285e-05	0.000132206762800093	-7.07285499247356e-05	0.650851441275465	0.106539389949528	0	0.9364040531622	19.7083882957503	51.5687577254685	0.593567251461988	32	16.0418500590884	28.5636178418783	0.0155945419103314	0.96969696969697	658.5	22.25	4	2634	89
113273	1173	0.0051015400388636	0.00509059228675566	8.91057338047993e-05	9.98035305200971e-05	-8.24329911302924e-05	0.909657748430612	0.08078231292517	0	0.943283266426351	19.5639790136582	51.5687577254685	0.571637426900585	32	15.7439558528193	28.5636178418783	0.0155945419103314	0.96969696969697	638.75	23	4	2555	92
113273	1208	0.00496545258823035	0.00495327137869173	0.00010303089937465	0.00012457491359164	-9.0884177097149e-05	0.6954984947447	0.102699144173798	0	0.945988998422198	19.7517571760433	51.5687577254685	0.58869395711501	32	15.7240155048586	28.5636178418783	0.0155945419103314	0.96969696969697	656.5	22.25	4	2626	89
113273	1205	0.00501182126994229	0.00500054476234869	9.47716940674419e-05	0.000110971918757334	-8.52114637035772e-05	0.68734105291456	0.102040816326531	0	0.939809855201775	19.7117135087915	51.5687577254685	0.587231968810916	33	15.8051853810692	28.5636178418783	0.0160818713450292	1	650.25	23.5	4	2601	94
113273	1220	0.0049367758344081	0.00493447590595877	7.64695598657737e-05	9.23621825185865e-05	-6.59744445278812e-05	0.504642775942705	0.119376782971253	0	0.934053608164203	19.7224224669257	51.5687577254685	0.594541910331384	32	16.3163426723331	28.5636178418783	0.0155945419103314	0.96969696969697	659	22.25	4	2636	89
113273	1242	0.00484799984138779	0.00485198942012161	8.87738516159431e-05	0.000124410494749796	-6.77517180620601e-05	0.823465379900797	0.0903486394557823	0	0.932479159557335	19.686218620321	51.5687577254685	0.605263157894737	32	15.8854249285117	28.5636178418783	0.0155945419103314	0.96969696969697	670.25	23	4	2681	92
113273	1227	0.00489269350508708	0.0048955492466739	7.64915659138863e-05	0.000110894530073202	-5.7461855875169e-05	0.567550785987157	0.112244897959184	0	0.944549811439691	19.5874456148345	51.5687577254685	0.597953216374269	33	15.8051853810692	28.5636178418783	0.0160818713450292	1	664.25	23.5	4	2657	94
113273	1202	0.0049969433101552	0.00498734576058718	8.87846980684919e-05	0.00010249595237028	-8.03547313403931e-05	0.512682469090242	0.119309262166405	0	0.9298895688601	19.5075141525499	51.5687577254685	0.585769980506823	31	15.8376264631499	28.5636178418783	0.0151072124756335	0.939393939393939	652	21.75	4	2608	87
113273	1221	0.00494442167226086	0.00494585489373985	8.49701042422137e-05	0.000109206506693683	-6.92809033999835e-05	0.836385819100548	0.0881632653061225	0	0.929010792218892	19.5437723559414	51.5687577254685	0.595029239766082	34	15.8012332796371	28.5636178418783	0.0165692007797271	1.03030303030303	657.5	24	4	2630	96
113273	1226	0.00492797620824597	0.00492149227667005	8.73766266763413e-05	0.000105583315547751	-7.62581024228707e-05	0.776115863557525	0.0955672591617291	0	0.948938121994592	19.7440039061459	51.5687577254685	0.597465886939571	32	15.9715777209903	28.5636178418783	0.0155945419103314	0.96969696969697	660.75	22.25	4	2643	89
113273	1221	0.0049187927795984	0.00492711172981238	8.01203072240732e-05	0.000117978504877005	-5.75630042251899e-05	0.823465379900797	0.0903486394557823	0	0.938077750720413	19.6636835637474	51.5687577254685	0.595029239766082	32	15.6679154131485	28.5636178418783	0.0155945419103314	0.96969696969697	660	23	4	2640	92
113273	1208	0.00498955705599727	0.00498363818286676	0.000103794461505895	0.000140575158249051	-8.43501931586909e-05	0.823465379900797	0.0903486394557823	0	0.942327319678618	19.806912785501	51.5687577254685	0.58869395711501	32	15.8886757301942	28.5636178418783	0.0155945419103314	0.96969696969697	652.5	23	4	2610	92
113273	1223	0.00492872244563354	0.0049326800929558	9.23595181806375e-05	0.000132073537950752	-6.97339728007705e-05	0.512682469090242	0.119309262166405	0	0.940423012416884	19.7551176742278	51.5687577254685	0.596003898635478	31	16.0271706675846	28.5636178418783	0.0151072124756335	0.939393939393939	659.25	21.75	4	2637	87
113273	1218	0.00492539029064945	0.00492887073381477	8.30324713597282e-05	0.000113644946863661	-6.43772230611871e-05	0.965573865625368	0.0714285714285714	0	0.936608268768274	19.5437230993601	51.5687577254685	0.593567251461988	32	15.8854249285117	28.5636178418783	0.0155945419103314	0.96969696969697	659.75	23	4	2639	92
113273	1255	0.00478460505768794	0.00478608563702164	9.19614457705824e-05	0.000126040234060389	-7.20564419078954e-05	0.963945243664875	0.0714285714285714	0	0.930238254811846	19.6245340869371	51.5687577254685	0.611598440545809	33	15.6680032470645	28.5636178418783	0.0160818713450292	1	679.5	23.5	4	2718	94
113273	1208	0.00498318749204607	0.00498354486475902	8.73740047453256e-05	0.000118211247771109	-6.93480110160396e-05	0.719070631016492	0.100107411385607	0	0.941648386944257	19.7798539690089	51.5687577254685	0.58869395711501	33	15.9646987468047	28.5636178418783	0.0160818713450292	1	652.5	22.75	4	2610	91
113273	1184	0.00509678266176642	0.00509063818338683	0.000114477693343613	0.000137785634738033	-9.9635938489248e-05	0.483310124142697	0.121351766513057	0	0.944188921938162	19.8353639071214	51.5687577254685	0.576998050682261	32	15.9738826472556	28.5636178418783	0.0155945419103314	0.96969696969697	638.75	22.25	4	2555	89
113273	1207	0.00500578892910581	0.00500066768960512	9.2409082824121e-05	0.000111353982300461	-8.04007878658634e-05	0.88561795042541	0.0837585034013605	0	0.939251273565324	19.7304898513341	51.5687577254685	0.588206627680312	32	15.8854249285117	28.5636178418783	0.0155945419103314	0.96969696969697	650.25	23	4	2601	92
113273	1199	0.0049982586699268	0.0050008087284009	7.45888792015167e-05	0.000101488349820705	-5.82436772175374e-05	0.963945243664875	0.0714285714285714	0	0.939549957559957	19.5409326500009	51.5687577254685	0.584307992202729	33	15.8789215649925	28.5636178418783	0.0160818713450292	1	650.25	23.5	4	2601	94
113273	1203	0.00498930661754773	0.00498171934202518	8.73246311406832e-05	0.000106059605768782	-7.62268537851191e-05	0.870866130379953	0.086131226684222	0	0.938734244595264	19.6729889601088	51.5687577254685	0.58625730994152	32	15.9438299464871	28.5636178418783	0.0155945419103314	0.96969696969697	652.75	22.25	4	2611	89
