new_column	ID	ParentID	second_parent	third_parent	fourth_parent	fifth_parent	sixth_parent	seventh_parent	drivers_ID	uniq_subclones_per_driver	drivers_CCF_true
2126_504_237_0_0_0_0_0	2126	504	237	0	0	0	0	0	7	2	4.31651931943548e-05
2197_504_237_0_0_0_0_0	2197	504	237	0	0	0	0	0	7	2	4.01536680877719e-05
2336_504_237_0_0_0_0_0	2336	504	237	0	0	0	0	0	7	2	9.83764868150412e-05
2349_504_237_0_0_0_0_0	2349	504	237	0	0	0	0	0	7	2	9.63688034106526e-05
2413_504_237_0_0_0_0_0	2413	504	237	0	0	0	0	0	7	2	6.92650774514065e-05
2419_504_237_0_0_0_0_0	2419	504	237	0	0	0	0	0	7	2	1.20461004263316e-05
2577_504_237_0_0_0_0_0	2577	504	237	0	0	0	0	0	7	2	5.01920851097149e-06
2628_504_237_0_0_0_0_0	2628	504	237	0	0	0	0	0	7	2	3.11190927680232e-05
2821_504_237_0_0_0_0_0	2821	504	237	0	0	0	0	0	7	2	3.21229344702175e-05
2892_504_237_0_0_0_0_0	2892	504	237	0	0	0	0	0	7	2	6.02305021316579e-06
2914_504_237_0_0_0_0_0	2914	504	237	0	0	0	0	0	7	2	1.0038417021943e-06
3065_504_237_0_0_0_0_0	3065	504	237	0	0	0	0	0	7	2	5.01920851097149e-06
3140_504_237_0_0_0_0_0	3140	504	237	0	0	0	0	0	7	2	5.01920851097149e-06
3309_504_237_0_0_0_0_0	3309	504	237	0	0	0	0	0	7	2	5.32036102162978e-05
3818_504_237_0_0_0_0_0	3818	504	237	0	0	0	0	0	7	2	4.01536680877719e-06
3941_504_237_0_0_0_0_0	3941	504	237	0	0	0	0	0	7	2	5.01920851097149e-06
4231_504_237_0_0_0_0_0	4231	504	237	0	0	0	0	0	7	2	2.0076834043886e-05
4432_504_237_0_0_0_0_0	4432	504	237	0	0	0	0	0	7	2	3.01152510658289e-06
5521_504_237_0_0_0_0_0	5521	504	237	0	0	0	0	0	7	2	4.91882434075206e-05
6131_504_237_0_0_0_0_0	6131	504	237	0	0	0	0	0	7	2	3.01152510658289e-06
6952_504_237_0_0_0_0_0	6952	504	237	0	0	0	0	0	7	2	4.01536680877719e-06
506_237_0_0_0_0_0_0	506	237	0	0	0	0	0	0	6	5	4.41690348965491e-05
513_237_0_0_0_0_0_0	513	237	0	0	0	0	0	0	6	5	0.0182709228216384
10226_513_237_0_0_0_0_0	10226	513	237	0	0	0	0	0	7	2	2.0076834043886e-06
1084_513_237_0_0_0_0_0	1084	513	237	0	0	0	0	0	7	2	0.00037142142981189
1105_513_237_0_0_0_0_0	1105	513	237	0	0	0	0	0	7	2	1.40537838307202e-05
1110_513_237_0_0_0_0_0	1110	513	237	0	0	0	0	0	7	2	0.00674079703023471
1238_1110_513_237_0_0_0_0	1238	1110	513	237	0	0	0	0	8	2	0.0066896011034228
12254_1238_1110_513_237_0_0_0	12254	1238	1110	513	237	0	0	0	9	2	4.01536680877719e-06
15667_1238_1110_513_237_0_0_0	15667	1238	1110	513	237	0	0	0	9	2	1.0038417021943e-06
7412_1238_1110_513_237_0_0_0	7412	1238	1110	513	237	0	0	0	9	2	1.70653089373031e-05
9638_1238_1110_513_237_0_0_0	9638	1238	1110	513	237	0	0	0	9	2	1.0038417021943e-06
1219_513_237_0_0_0_0_0	1219	513	237	0	0	0	0	0	7	2	4.11575097899662e-05
1622_513_237_0_0_0_0_0	1622	513	237	0	0	0	0	0	7	2	2.0076834043886e-06
1628_513_237_0_0_0_0_0	1628	513	237	0	0	0	0	0	7	2	7.32804442601837e-05
1986_513_237_0_0_0_0_0	1986	513	237	0	0	0	0	0	7	2	4.01536680877719e-06
2037_513_237_0_0_0_0_0	2037	513	237	0	0	0	0	0	7	2	1.0038417021943e-05
2218_513_237_0_0_0_0_0	2218	513	237	0	0	0	0	0	7	2	1.0038417021943e-06
2222_513_237_0_0_0_0_0	2222	513	237	0	0	0	0	0	7	2	1.60614672351088e-05
2260_513_237_0_0_0_0_0	2260	513	237	0	0	0	0	0	7	2	3.01152510658289e-06
2399_513_237_0_0_0_0_0	2399	513	237	0	0	0	0	0	7	2	1.0038417021943e-06
2548_513_237_0_0_0_0_0	2548	513	237	0	0	0	0	0	7	2	1.0038417021943e-05
2649_513_237_0_0_0_0_0	2649	513	237	0	0	0	0	0	7	2	4.01536680877719e-06
2663_513_237_0_0_0_0_0	2663	513	237	0	0	0	0	0	7	2	3.01152510658289e-06
2674_513_237_0_0_0_0_0	2674	513	237	0	0	0	0	0	7	2	0.00761112778603716
12042_2674_513_237_0_0_0_0	12042	2674	513	237	0	0	0	0	8	2	1.0038417021943e-06
13195_2674_513_237_0_0_0_0	13195	2674	513	237	0	0	0	0	8	2	2.10806757460802e-05
14393_2674_513_237_0_0_0_0	14393	2674	513	237	0	0	0	0	8	2	2.0076834043886e-06
16714_2674_513_237_0_0_0_0	16714	2674	513	237	0	0	0	0	8	2	1.10422587241373e-05
2805_513_237_0_0_0_0_0	2805	513	237	0	0	0	0	0	7	2	3.01152510658289e-06
2908_513_237_0_0_0_0_0	2908	513	237	0	0	0	0	0	7	2	2.0076834043886e-06
3222_513_237_0_0_0_0_0	3222	513	237	0	0	0	0	0	7	2	1.0038417021943e-05
3424_513_237_0_0_0_0_0	3424	513	237	0	0	0	0	0	7	2	1.0038417021943e-06
3439_513_237_0_0_0_0_0	3439	513	237	0	0	0	0	0	7	2	0.000949634250275805
4301_513_237_0_0_0_0_0	4301	513	237	0	0	0	0	0	7	2	6.02305021316579e-06
4583_513_237_0_0_0_0_0	4583	513	237	0	0	0	0	0	7	2	1.40537838307202e-05
4715_513_237_0_0_0_0_0	4715	513	237	0	0	0	0	0	7	2	5.01920851097149e-06
5297_513_237_0_0_0_0_0	5297	513	237	0	0	0	0	0	7	2	7.02689191536008e-06
5307_513_237_0_0_0_0_0	5307	513	237	0	0	0	0	0	7	2	1.0038417021943e-06
6007_513_237_0_0_0_0_0	6007	513	237	0	0	0	0	0	7	2	2.0076834043886e-06
6697_513_237_0_0_0_0_0	6697	513	237	0	0	0	0	0	7	2	2.0076834043886e-06
7761_513_237_0_0_0_0_0	7761	513	237	0	0	0	0	0	8	3	8.03073361755438e-06
9437_513_237_0_0_0_0_0	9437	513	237	0	0	0	0	0	7	2	2.0076834043886e-06
534_237_0_0_0_0_0_0	534	237	0	0	0	0	0	0	6	5	0.000638443322595573
1473_534_237_0_0_0_0_0	1473	534	237	0	0	0	0	0	7	2	1.20461004263316e-05
5478_534_237_0_0_0_0_0	5478	534	237	0	0	0	0	0	7	2	2.0076834043886e-06
