ID	ParentID	Distance	Alive	Necrotic	Lost	Drivers	Passengers	Fitness	CCF	clone_order	Alive_cells_all_descendents	driver_CCF
5207	804	1	106	134021	12694	7	0	13.6162212066764	1e-04	third	112	0.000112430270645761
5640	779	1	1234	1125221	102672	7	0	14.8124844285817	0.0012	third	1239	0.00124375986901873
5977	683	1	3967	3066319	260633	7	0	16.1361269685644	0.004	third	3968	0.00398324387430697
6183	683	1	352	332193	30193	7	0	14.6169581115718	4e-04	third	354	0.000355359962576781
7543	1357	1	1342	833587	73127	7	0	16.6326143120003	0.0017	third	1649	0.0016553349669184
8274	683	1	1663	956373	82863	7	0	17.0584261745209	0.0018	third	1812	0.00181896116437607
1238	1110	1	6641	21681299	2229812	8	0	11.4034542027936	0.0067	fourth	6664	0.0066896011034228
2869	1425	1	22211	34680521	2490552	8	0	16.9679660398027	0.1242	fourth	123864	0.124339848600594
3647	1103	1	7952	9542012	827480	8	0	14.7275360846594	0.008	fourth	7976	0.00800664141670172
3648	1321	1	22678	31951222	2139887	8	0	18.3365564285625	0.0419	fourth	41761	0.0419214333253361
3952	1425	1	6049	6148159	531387	8	0	15.1386674377534	0.0061	fourth	6078	0.00610134986593694
4232	1804	1	35339	55225062	3384515	8	0	19.6936112990236	0.2196	fourth	218966	0.219807202162677
4538	1425	1	4319	4075464	365775	8	0	14.80539814647	0.0043	fourth	4320	0.00433659615347937
4822	1702	1	4499	3956338	346880	8	0	15.3700452238134	0.0045	fourth	4508	0.00452531839349189
5293	1702	1	969	797274	71743	8	0	15.2003695094975	0.001	fourth	1026	0.00102994158645135
6042	1425	1	7424	6661010	503766	8	0	17.5863182934596	0.0075	fourth	7519	0.00754788575879892
6261	1425	1	608	526869	47600	8	0	14.9578463045884	6e-04	fourth	635	0.000637439480893379
6535	1535	1	17587	19046340	1195886	8	0	20.2787219473387	0.0301	fourth	29972	0.0300871434981675
6626	1425	1	4022	3089789	261983	8	0	16.252844172195	0.004	fourth	4026	0.00404146669303424
6819	1535	1	4052	2825667	226866	8	0	17.4800155306371	0.0041	fourth	4053	0.00406857041899349
7184	1702	1	4836	3890595	319506	8	0	16.6547609850759	0.0049	fourth	4840	0.0048585938386204
7499	1804	1	1139	791297	70132	8	0	15.9698639281154	0.0012	fourth	1156	0.00116044100773661
7500	3227	1	7223	6094706	449513	8	0	18.2163446740704	0.0121	fourth	12099	0.0121454807548488
7604	1425	1	5936	4736536	362444	8	0	17.8395860238359	0.006	fourth	5953	0.00597586965316265
7681	1804	1	902	554189	48913	8	0	16.6383469150398	9e-04	fourth	904	0.000907472898783645
7804	1535	1	9742	8129047	537780	8	0	20.1978243545319	0.01	fourth	9975	0.0100133209793881
8228	1804	1	7755	6387241	453781	8	0	18.9821247165236	0.0082	fourth	8181	0.00821242896565155
8671	1702	1	22354	20257266	1064770	8	0	24.7884431771169	0.0391	fourth	38995	0.0391448071770666
9112	3227	1	7193	5553133	390371	8	0	19.3961109977528	0.0072	fourth	7198	0.00722565257239455
9443	1702	1	960	495542	42752	8	0	17.7115578166345	0.001	fourth	962	0.000965695717510914
9866	1804	1	8390	6167588	403232	8	0	21.0385205489891	0.0084	fourth	8392	0.00842423956481455
10041	1804	1	2385	1129213	88990	8	0	19.7724011314369	0.0024	fourth	2407	0.00241624697718167
10160	3227	1	11463	8720191	522148	8	0	22.6948624911458	0.012	fourth	11940	0.0119858699241999
