Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned	Tumor_Sample_Barcode	Recalibrated
HF422_RN001_D01_1	HF422_RN001_D01_1.bam	76909686	76855978	4956442429	4956061235	16268.0795	93	57.6051	0.0026	135.3096	99.9301674434089	HF422_RN001_D01	No
HF422_RN001_D01_2	HF422_RN001_D01_2.bam	74748730	74701618	4807667395	4807294912	15808.9429	93	57.6055	0.0025	131.2481	99.9369728422142	HF422_RN001_D01	No
HF422_RN001_D01_3	HF422_RN001_D01_3.bam	57326014	57288988	3695323825	3695031436	16193.2773	93	57.6203	0.0026	100.8814	99.9354115218965	HF422_RN001_D01	No
HF424_ET001_D01.recal	HF424_ET001_D01.recal.bam	422263646	422038484	17209189376	17207674046	9911.3674	90	57.3633	0.0028	469.8065	99.94667738932	HF424_ET001_D01	Yes
HF424_ET001_D01_1	HF424_ET001_D01_1.bam	153924094	153792733	9870767328	9869886014	8537.2878	92	57.4584	0.0031	269.4694	99.9146585848996	HF424_ET001_D01	No
HF424_ET001_D01_2	HF424_ET001_D01_2.bam	156131616	156015147	9993708839	9992796431	8110.3027	92	57.4615	0.003	272.8257	99.9254033212594	HF424_ET001_D01	No
HF424_ET001_D01_3	HF424_ET001_D01_3.bam	115601352	115512155	7416763323	7416095559	8607.2723	92	57.4831	0.0031	202.4757	99.9228408678127	HF424_ET001_D01	No
HF424_RN001_D01.recal	HF424_RN001_D01.recal.bam	246465132	246322026	10212089893	10211182356	13293.4219	86	57.4526	0.0024	278.7874	99.9419366143849	HF424_RN001_D01	Yes
HF424_RN001_D01_1	HF424_RN001_D01_1.bam	90827752	90728802	5718899916	5718380232	12168.6311	88	57.5546	0.0026	156.1245	99.8910575261182	HF424_RN001_D01	No
HF424_RN001_D01_2	HF424_RN001_D01_2.bam	89389036	89299079	5606375003	5605864883	11368.2123	87	57.5529	0.0025	153.0526	99.8993646155889	HF424_RN001_D01	No
HF424_RN001_D01_3	HF424_RN001_D01_3.bam	68133856	68063720	4287071568	4286681327	12053.2056	88	57.5666	0.0026	117.036	99.8970614550276	HF424_RN001_D01	No
