Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned	Tumor_Sample_Barcode	Recalibrated
HF283_RN001_D01_1	HF283_RN001_D01_1.bam	262187186	262015201	16905960342	16904236502	12464.143	95	57.5705	0.0023	461.5284	99.9344037355052	HF283_RN001_D01	No
HF291_ET001_D01.recal	HF291_ET001_D01.recal.bam	224630882	224508294	9171024730	9170281670	13311.2936	86	57.3505	0.0028	250.3666	99.9454269159661	HF291_ET001_D01	Yes
HF291_ET001_D01_1	HF291_ET001_D01_1.bam	82153264	82088196	5209890779	5209466202	12421.166	88	57.4561	0.0031	142.2287	99.9207968170321	HF291_ET001_D01	No
HF291_ET001_D01_2	HF291_ET001_D01_2.bam	82906668	82849818	5247542302	5247112007	11426.1369	88	57.4533	0.003	143.2566	99.931428917153	HF291_ET001_D01	No
HF291_ET001_D01_3	HF291_ET001_D01_3.bam	61055170	61012638	3873701742	3873382064	12035.9047	88	57.4724	0.0031	105.7511	99.930338413602	HF291_ET001_D01	No
HF291_RN001_D01.recal	HF291_RN001_D01.recal.bam	256546527	256384399	10205760997	10204705669	10573.5801	86	57.464	0.0025	278.6147	99.9368036660266	HF291_RN001_D01	Yes
HF291_RN001_D01_1	HF291_RN001_D01_1.bam	93127804	93026773	5910744837	5910123439	9890.0424	89	57.5726	0.0028	161.3618	99.8915136021032	HF291_RN001_D01	No
HF291_RN001_D01_2	HF291_RN001_D01_2.bam	92630082	92538434	5852306774	5851685329	8875.7252	88	57.5695	0.0027	159.7665	99.9010602192925	HF291_RN001_D01	No
HF291_RN001_D01_3	HF291_RN001_D01_3.bam	72817568	72742504	4616132351	4615642469	9651.8861	89	57.5843	0.0028	126.0192	99.8969149862297	HF291_RN001_D01	No
HF299_ET001_D01.recal	HF299_ET001_D01.recal.bam	285027279	284880010	11984903015	11983986116	9429.0994	85	57.3453	0.0027	327.1848	99.9483316121472	HF299_ET001_D01	Yes
HF299_ET001_D01_1	HF299_ET001_D01_1.bam	106484092	106397025	6759907674	6759382622	8342.9868	87	57.4395	0.003	184.5438	99.9182347350062	HF299_ET001_D01	No
HF299_ET001_D01_2	HF299_ET001_D01_2.bam	95522064	95456148	6043454178	6042982270	7934.2648	86	57.4452	0.0029	164.9848	99.930993953397	HF299_ET001_D01	No
HF299_ET001_D01_3	HF299_ET001_D01_3.bam	85151910	85089607	5406788166	5406371555	8286.7123	87	57.4555	0.003	147.6039	99.9268331150763	HF299_ET001_D01	No
