gene	NCT	ct_total	ct_suspended	ct_recruiting	ct_active_not_recruiting	ct_withdrawn	ct_completed	ct_unknown_status	ct_not_yet_recruiting	ct_terminated_recruitment	early_phase_1	phase_1	phase_2	phase_3	phase_4
FANCF	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	17	NA	13	NA	1	3	NA	NA	NA	NA	6	11	2	NA
FANCG	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	17	NA	13	NA	1	3	NA	NA	NA	NA	6	11	2	NA
FANCI	NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	16	NA	12	NA	1	3	NA	NA	NA	NA	6	10	2	NA
FANCL	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02734004,NCT02660034,NCT02505048,NCT02401347,NCT01646034	18	NA	13	1	1	3	NA	NA	NA	NA	7	12	2	NA
FANCM	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	17	NA	13	NA	1	3	NA	NA	NA	NA	6	11	2	NA
FBXW7	NCT04461600,NCT02784795	2	NA	1	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA
FGFR1	NCT04504331,NCT04053322,NCT01928459	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
FGFR2	NCT04504331,NCT04053322,NCT02693535,NCT02576665,NCT01928459	5	NA	3	NA	NA	1	NA	NA	1	NA	3	2	NA	NA
FGFR3	NCT04504331,NCT04053322,NCT02693535,NCT01928459	4	NA	3	NA	NA	1	NA	NA	NA	NA	2	2	NA	NA
FGFR4	NCT04504331	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
FLT1	NCT02693535	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
FLT3	NCT02693535,NCT02576665	2	NA	1	NA	NA	NA	NA	NA	1	NA	1	1	NA	NA
FLT4	NCT02693535	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
GATA3	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
HDAC1	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
HDAC2	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
HGF	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
IDH1	NCT04692662	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
IDH2	NCT04692662	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
JAG1	NCT04461600,NCT02784795	2	NA	1	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA
KDM6A	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
KDR	NCT02693535,NCT02576665	2	NA	1	NA	NA	NA	NA	NA	1	NA	1	1	NA	NA
KEAP1	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
KIT	NCT02693535,NCT02576665	2	NA	1	NA	NA	NA	NA	NA	1	NA	1	1	NA	NA
KMT2D	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
KRAS	NCT03412877,NCT02576665	2	1	NA	NA	NA	NA	NA	NA	1	NA	1	1	NA	NA
MAGI2	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
MAML1	NCT04461600,NCT02784795	2	NA	1	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA
MAP3K1	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
MCPH1	NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04053322,NCT03742895,NCT03415659,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02401347,NCT01646034	13	NA	10	NA	1	2	NA	NA	NA	NA	4	9	2	NA
MDM2	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
MDM4	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
MED12	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
MET	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
MGMT	NCT02101385	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
MLH1	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
MLH3	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
MRE11A	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	17	NA	13	NA	1	3	NA	NA	NA	NA	6	11	2	NA
MSH2	NCT04095273,NCT03188965,NCT02576665,NCT02505048	4	NA	2	NA	NA	1	NA	NA	1	NA	3	1	NA	NA
MSH3	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
MSH6	NCT04095273,NCT03188965,NCT02576665,NCT02505048	4	NA	2	NA	NA	1	NA	NA	1	NA	3	1	NA	NA
MTOR	NCT03805399,NCT03698383,NCT02506556,NCT01226316	4	NA	2	1	NA	NA	1	NA	NA	NA	2	3	NA	NA
MUTYH	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
MYC	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
NBN	NCT04692662,NCT04655183,NCT04240106,NCT04171700,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	18	NA	14	NA	1	3	NA	NA	NA	NA	6	12	2	NA
NCSTN	NCT04461600,NCT02784795	2	NA	1	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA
NF1	NCT04586270,NCT02576665	2	NA	1	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA
NF2	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
NOTCH1	NCT04461600,NCT02784795,NCT02576665	3	NA	1	NA	NA	1	NA	NA	1	NA	2	1	NA	NA
NOTCH2	NCT04461600,NCT02784795,NCT02576665	3	NA	1	NA	NA	1	NA	NA	1	NA	2	1	NA	NA
NOTCH3	NCT04461600,NCT02784795	2	NA	1	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA
NOTCH4	NCT04461600,NCT02784795	2	NA	1	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA
NPM1	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
NRAS	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
NSD1	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
PALB2	NCT04756765,NCT04692662,NCT04655183,NCT04240106,NCT04171700,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02734004,NCT02693535,NCT02660034,NCT02505048,NCT02401347	21	NA	15	1	1	3	NA	1	NA	NA	7	15	2	NA
PARP1	NCT04095273,NCT03188965,NCT02505048,NCT02101385	4	NA	2	1	NA	1	NA	NA	NA	NA	2	2	NA	NA
PARP2	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
PDGFRA	NCT03805399,NCT03698383,NCT02693535,NCT02506556,NCT01226316	5	NA	3	1	NA	NA	1	NA	NA	NA	2	4	NA	NA
PDGFRB	NCT02693535	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
PIK3C2B	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
PIK3CA	NCT04762979,NCT04544189,NCT04524000,NCT04355520,NCT04330625,NCT04251533,NCT04216472,NCT04208178,NCT04191499,NCT04108858,NCT03805399,NCT03698383,NCT03273595,NCT03056755,NCT03006172,NCT02576665,NCT02506556,NCT02389842,NCT02340221,NCT02260661	30	NA	12	8	NA	4	2	1	3	NA	15	18	4	NA
PIK3CB	NCT03273595,NCT03218826,NCT02576665	3	NA	1	NA	NA	NA	1	NA	1	NA	2	1	NA	NA
PIK3CG	NCT03805399,NCT03698383,NCT03273595,NCT02506556,NCT01226316	5	NA	2	1	NA	NA	2	NA	NA	NA	2	4	NA	NA
PIK3R1	NCT03805399,NCT03698383,NCT03273595,NCT02576665,NCT02506556,NCT01226316	6	NA	2	1	NA	NA	2	NA	1	NA	3	4	NA	NA
PIK3R2	NCT03805399,NCT03698383,NCT03273595,NCT02506556,NCT01226316	5	NA	2	1	NA	NA	2	NA	NA	NA	2	4	NA	NA
PMS1	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
PMS2	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
POLE	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
PPP2R1A	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
PPP2R2A	NCT04095273,NCT04053322,NCT03188965,NCT02734004,NCT02505048	5	NA	3	1	NA	1	NA	NA	NA	NA	3	3	NA	NA
PTCH1	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
PTEN	NCT04655183,NCT04251533,NCT04240106,NCT04216472,NCT04169841,NCT04123366,NCT04108858,NCT04053322,NCT03805399,NCT03742895,NCT03698383,NCT03415659,NCT03273595,NCT03218826,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02506556,NCT02465060	25	NA	17	2	1	3	2	NA	NA	NA	9	17	3	NA
PTPN11	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
RAD50	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	17	NA	13	NA	1	3	NA	NA	NA	NA	6	11	2	NA
RAD51	NCT04692662,NCT04655183,NCT04240106,NCT04171700,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	18	NA	14	NA	1	3	NA	NA	NA	NA	6	12	2	NA
RAD51B	NCT04692662,NCT04655183,NCT04240106,NCT04171700,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02734004,NCT02660034,NCT02505048,NCT02401347,NCT01646034	19	NA	14	1	1	3	NA	NA	NA	NA	7	13	2	NA
RAD51C	NCT04692662,NCT04655183,NCT04240106,NCT04171700,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02734004,NCT02660034,NCT02505048,NCT02401347,NCT01646034	19	NA	14	1	1	3	NA	NA	NA	NA	7	13	2	NA
RAD51D	NCT04692662,NCT04655183,NCT04240106,NCT04171700,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02734004,NCT02660034,NCT02505048,NCT02401347,NCT01646034	19	NA	14	1	1	3	NA	NA	NA	NA	7	13	2	NA
RAD54L	NCT04692662,NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02734004,NCT02660034,NCT02505048,NCT02401347,NCT01646034	18	NA	13	1	1	3	NA	NA	NA	NA	7	12	2	NA
RB1	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
RET	NCT02693535	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
RICTOR	NCT03805399,NCT03698383,NCT02506556,NCT01226316	4	NA	2	1	NA	NA	1	NA	NA	NA	2	3	NA	NA
RPTOR	NCT03805399,NCT03698383,NCT02506556,NCT01226316	4	NA	2	1	NA	NA	1	NA	NA	NA	2	3	NA	NA
RUNX1	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
SETD2	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
SLX4	NCT04655183,NCT04240106,NCT04169841,NCT04123366,NCT04095273,NCT04053322,NCT03742895,NCT03415659,NCT03188965,NCT03150810,NCT02810743,NCT02789332,NCT02660034,NCT02505048,NCT02401347,NCT01646034	16	NA	12	NA	1	3	NA	NA	NA	NA	6	10	2	NA
SMARCA4	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
SMARCB1	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
SOX9	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
STAG2	NCT04095273,NCT03188965,NCT02576665,NCT02505048	4	NA	2	NA	NA	1	NA	NA	1	NA	3	1	NA	NA
STK11	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
TAF1	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
TBX3	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
TET2	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
TP53	NCT03412877,NCT02576665,NCT02347163	3	1	NA	NA	NA	NA	NA	NA	2	NA	1	2	NA	NA
TSC1	NCT03805399,NCT03698383,NCT02506556,NCT01226316	4	NA	2	1	NA	NA	1	NA	NA	NA	2	3	NA	NA
TSC2	NCT03805399,NCT03698383,NCT02506556,NCT01226316	4	NA	2	1	NA	NA	1	NA	NA	NA	2	3	NA	NA
VHL	NCT02693535	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
WNT5A	NCT02655952	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA
XPO1	NCT02576665	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA
XRCC1	NCT04095273,NCT03188965,NCT02505048	3	NA	2	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA
